4K专区,#genre#
龙华戏剧,http://8.218.84.3:8885/live/LxWcScuQ6WphaELY4DhkKm8SIv7_ZgNIJtNvFurqphvyqxUIU 84OjKVCwFxMq9iUnx1SdKGszEQ77eUPMh3EhdZevQ20rbwp3G_GLipMq4fHN4V12KjEznAL7Sy5oN7M4w7 kZZhMqUplRFdlubfhOVU-IMeuLzlDdoVx_DgKpGHoVx9KhM5ABf4Z8qtB4xp5LI4DcElJIMLS9-SLOI38o ZX-nzhuOaNgxyuddLgRLIMbC2nd5Y5XcRngrvgWxwWPcQ4pyo9Xa-BBD12sRBscNw.m3u8?u=1756878715
龙华经典4GTV,http://220.135.64.124:5050/li-litv-longturn21/index.m3u8?proxy=true
龙华洋片4GTV,http://220.135.64.124:5050/li-litv-longturn02/index.m3u8?proxy=true
龙华日韩4GTV,http://220.135.64.124:5050/li-litv-longturn11/index.m3u8?proxy=true
龙华电影4GTV,http://220.135.64.124:5050/li-litv-longturn03/index.m3u8?proxy=true
龙华戏剧4GTV,http://220.135.64.124:5050/li-litv-longturn18/index.m3u8?proxy=true
龙华偶像4GTV,http://220.135.64.124:5050/li-litv-longturn12/index.m3u8?proxy=true
中天新闻,http://220.135.64.124:5050/4gtv-4gtv009/index.m3u8?proxy=true
民视新闻,http://rihou.cc:555/tv/民视新闻
华视新闻,http://220.135.64.124:5050/of-4gtv-4gtv052/index.m3u8?proxy=true
东森电影ee,https://stream1.freetv.fun/27aa55ca74d77bfa3ce700470208cb2ef13550344099a33d71e51eb7daecaac3.ctv
ViuTvsixb,https://stream1.freetv.fun/2022de93c6175f00f9f45e21257f2a488e5631f779ee9a6780b403d77e2429b2.ctv
Viutvee,https://stream1.freetv.fun/b5a76c27ebc1c319f7f069a1f275c700267fe7f78d2cc1d92d99f3d1c526538d.ctv
纬来电影ee,https://stream1.freetv.fun/db34787fd35f3a77ba3ecbce0e49cbf8adeeb4e95b54b8869b24fbff95a1686c.ctv
Viutvb,https://stream1.freetv.fun/f9680349a9abb624d2210ac1d8bcec0da482ef32c261d90845474ce89fa5f1ea.ctv
ViuTvsixee,https://stream1.freetv.fun/e7f0d0390abcce0a34dd1fe04d37d4cc2078fe698f620a519b7868e8fd259dcd.ctv
东森戏剧ee,https://stream1.freetv.fun/526fea39c889d7b305702968fe4c4b8422ad57a50f0b0352266fa35b803d882c.ctv
东森洋片ee,https://stream1.freetv.fun/3b48be888da362d343d978fa6a6a6d39c8ec796e80cdb1add7600301a2698910.ctv
东森新闻ee,https://stream1.freetv.fun/867d63b3e3a986cfe7e413f3035ffd0efed7e7aaf13a0f4996548daae12c2392.ctv
中天娱乐ee,https://stream1.freetv.fun/2cae120bcd011f14943570cecc8dc698695733de79d058bbe8d0e4a6049ca411.ctv
中天新闻ee,https://stream1.freetv.fun/35b4903da82b574900d8cd39c49286876368c68a1744275f814eebec785ec0cb.ctv
中天综合ee,https://stream1.freetv.fun/afa4e6d6ed051e8ab7fa5dc77b611bc03422568dba848f026d4454ee72b6c572.ctv
年代新闻ee,https://stream1.freetv.fun/33b4559fa142d50e251c1e0437ddfc3cf6b596f2f63478853d0c386ee28c7641.ctv
纬来戏剧ee,https://stream1.freetv.fun/975aa23361ccf59f1799c03664f6a7aeb7424015efa5034bc2a04a12d48e96a2.ctv
纬来日本ee,https://stream1.freetv.fun/b5b75af6b29e4ad6cb5704cc33b85184c60d29a947ce4d21796c89ea4e935080.ctv
寰宇新闻,http://165.154.226.214:50007/li-litv-longturn14/index.m3u8?proxy=true
台视,http://165.154.226.214:50007/li-4gtv-4gtv066/index.m3u8?proxy=true
八大综艺,http://165.154.226.214:50007/li-4gtv-4gtv039/index.m3u8?proxy=true
八大精彩,http://165.154.226.214:50007/li-4gtv-4gtv034/index.m3u8?proxy=true
TVBS精采,http://165.154.226.214:50007/li-4gtv-4gtv067/index.m3u8?proxy=true
东森新闻,http://165.154.226.214:50007/li-4gtv-4gtv152/index.m3u8?proxy=true
民视第一,http://165.154.226.214:50007/li-4gtv-4gtv003/index.m3u8?proxy=true
TVBS新闻,http://rihou.cc:555/tv/[FY]tvbS新闻
澳视澳门,https://stream1.freetv.fun/ao-shi-ao-men-4.m3u8
嘉佳卡通,https://live.264788.xyz/channel/jiajiakatong?streamid=cfeb54dbf8ffa7d7b3fe5238743b21c8&livekey=01Whq5ncXSAY4QR6pxFecNJPn2TD9XzQG6tPi
靖天电影,https://cdn12.178.indevs.in/163189/ed33509e03e78c7a
香港片系列,https://live.ottiptv.cc/huya/29982660
东风破,https://cfss.cc/api/kg/158899.mp4
龙华卡通4GTV,http://220.135.64.124:5050/li-litv-longturn01/index.m3u8?proxy=true
生命电视台,http://211.73.19.201/live/AB167E56-808C-81D4-6471-76DC400D5192.m3u8?fmt=x264_1200K_ts&cpid=admin&size=1920X1080
倩女幽魂人间道,http://jsmov2.a.yximgs.com/bs3/video-hls/5250634317044855747_hlsb.m3u8
江苏优漫卡通,http://114.226.212.155:8787/rtp/239.49.8.119:8000
华视,http://211.72.174.95:8114/0.ts
民视,http://211.72.174.95:8115/0.ts
公视,http://211.72.174.95:8116/0.ts
无线新闻,http://beishan008.asuscomm.com:8890/bysid/83.m3u8
DISNEYCHANNEL,https://dhoomtv.xyz:443/live/8zpo3GsVY7/beneficial2concern/19741.ts
湖南金鹰卡通,http://27.18.83.20:9100/rtp/239.69.1.248:11130
影视剧集,#genre#
浙江钱江都市,https://t.freetv.fun/live/zhe-jiang-qian-jiang-du-shi-1.m3u8
南宁影视娱乐,https://stream1.freetv.fun/nan-zhu-ying-shi-yu-le-3.m3u8
安徽影视,https://t.freetv.fun/live/an-hui-ying-shi.m3u8
上虞文化影院,https://stream1.freetv.fun/shang-yu-wen-hua-ying-yuan-4.ctv
广州影视,https://stream1.freetv.fun/yan-zhou-ying-shi-6.ctv
杭州影视,https://stream1.freetv.fun/hang-zhou-ying-shi-2.ctv
绍兴文化影院,https://stream1.freetv.fun/shao-xing-wen-hua-ying-yuan-4.m3u8
上海都市,https://stream1.freetv.fun/ipv6-shang-hai-du-shi-3.m3u8
东方影视,https://stream1.freetv.fun/ipv6-dong-fang-ying-shi-9.m3u8
辽宁影视剧,https://stream1.freetv.fun/liao-zhu-ying-shi-ju-3.m3u8
湖南都市,https://stream1.freetv.fun/hu-nan-du-shi-4.m3u8
湖南电视剧,https://stream1.freetv.fun/hu-nan-dian-shi-ju-12.m3u8
湖南电影,https://stream1.freetv.fun/hu-nan-dian-ying-2.ctv
湖北影视,https://stream1.freetv.fun/hu-bei-ying-shi-1.ctv
辽宁都市,https://stream1.freetv.fun/liao-zhu-du-shi-5.m3u8
武汉二台电视剧,https://stream1.freetv.fun/wu-yi-2dian-shi-ju-1.m3u8
金鹰纪实,https://stream1.freetv.fun/jin-ying-ji-shi-22.ctv
南宁都市生活,https://stream1.freetv.fun/nan-zhu-du-shi-sheng-huo-2.m3u8
福建电视剧,https://stream1.freetv.fun/fu-jian-dian-shi-ju-1.m3u8
石家庄都市,https://stream1.freetv.fun/shi-jia-zhuang-du-shi-1.ctv
河北都市,https://stream1.freetv.fun/he-bei-du-shi-13.ctv
黑龙江影视,https://stream1.freetv.fun/hei-long-jiang-ying-shi-7.m3u8
淘电影,https://stream1.freetv.fun/tao-dian-ying-6.ctv
经典电影,https://stream1.freetv.fun/jing-dian-dian-ying-9.ctv
黑龙江都市,https://stream1.freetv.fun/hei-long-jiang-du-shi-7.m3u8
天映经典,https://stream1.freetv.fun/tian-ying-jing-dian-5.m3u8
靖洋戏剧,https://cdn12.178.indevs.in/163189/25084ef5a2662aad
AMC电影,https://cdn12.178.indevs.in/163189/0bcf9bb8c452e56a
影迷数位电影,https://cdn12.178.indevs.in/163189/a643783ec587540e
重温经典,https://cdn13.178.indevs.in/163189/21d79187db6e9793
江苏影视,https://stream1.freetv.fun/a89dd489fa013bc4f36bcc4afe388f1783e2251c276e2566a9359d68a61c6d91.ctv
黑莓电影,https://live.264788.xyz/channel/heimeidianying?streamid=aab004fb9a1ea1ac66a7d77d35c1a039&livekey=01Whq5ncXSAY4QR6psF2ryHRcUm37BlrBqXnU
动作电影,https://live.264788.xyz/channel/newtvdongzuodianying?streamid=05ad887268adec6763cb8eafd1c0b6ec&livekey=01Whq5ncXSAY4QR6q3G3zQhmyaOfTogQmpiTt
军旅剧场,https://live.264788.xyz/channel/newtvjunlvjuchang?streamid=c7ab677d5b32950014da19424a5bc4d7&livekey=01Whq5ncXSAY4QR6q3G3zQhmyaOfTogQmpiTt
古装剧场,https://live.264788.xyz/channel/newtvguzhuangjuchang?streamid=3dffafcb0b9381eebfa771aa183eb4fc&livekey=01Whq5ncXSAY4QR6q3G3zQhmyaOfTogQmpiTt
惊悚悬疑,https://live.264788.xyz/channel/newtvjingsongxuanyi?streamid=cefe64289cde2680e596ee3c1c6a4bf2&livekey=01Whq5ncXSAY4QR6q3G3zQhmyaOfTogQmpiTt
热播精选,https://live.264788.xyz/channel/newtvrebojingxuan?streamid=c0a0801eee0e5ba96ac5d47b4d70f87f&livekey=01Whq5ncXSAY4QR6q3G3zQhmyaOfTogQmpiTt
家庭剧场,https://live.264788.xyz/channel/newtvjiatingjuchang?streamid=d77adead2e6dfd2780d2217da5f0fc5b&livekey=01Whq5ncXSAY4QR6q3G3zQhmyaOfTogQmpiTt
爱情喜剧,https://live.264788.xyz/channel/newtvaiqingxiju?streamid=c18dcc43a2802676f0972d97aa54382f&livekey=01Whq5ncXSAY4QR6q3G3zQhmyaOfTogQmpiTt
精品大剧,https://live.264788.xyz/channel/newtvjingpindaju?streamid=2be57502b2550ccb31be511efc6d2bf9&livekey=01Whq5ncXSAY4QR6q3G3zQhmyaOfTogQmpiTt
新视觉,http://120.76.248.139/live/bfgd/4200000249.m3u8
环球旅游,http://120.76.248.139/live/bfgd/4200000147.m3u8
韩国电影1,https://stream.ads.ottera.tv/playlist.m3u8?network_id=595
文化影视,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
推流影院,http://222.186.39.38:8000/587078/index.m3u8
1905电影网环球经典,http://129.211.14.102:25000/1905.php?t=1&id=LIVE8J4LTCXPI7QJ5_261
最长的电影,https://cfss.cc/api/kg/756444.mp4
Newsmax,http://nmxlive.akamaized.net/hls/live/529965/Live_1/index.m3u8
剧集,https://stream1.freetv.fun/b6a501d2882e86783e129b6bd4a12c0c8ac416e3bc4f630ff6b262d891514870.ctv
CHC影迷电影,http://go.bkpcp.top/mg/ymdy
爱情片系列,https://live.ottiptv.cc/huya/29982639
科幻片系列,https://live.ottiptv.cc/huya/11352965
悬疑片系列,https://live.ottiptv.cc/huya/21059530
冒险片系列,https://live.ottiptv.cc/huya/21059566
刑侦剧专区,https://live.ottiptv.cc/huya/20969130
家庭剧专区,https://live.ottiptv.cc/huya/11352872
都市剧专区,https://live.ottiptv.cc/huya/29982666
经典剧专区,https://live.ottiptv.cc/huya/11602081
怀旧剧专区,https://live.ottiptv.cc/huya/30080241
爱情剧专区,https://live.ottiptv.cc/huya/29982671
偶像剧专区,https://live.ottiptv.cc/huya/11601964
古装剧专区,https://live.ottiptv.cc/huya/24314158
扁豆看电影,https://live.ottiptv.cc/huya/16028551
电影最TOP,https://live.ottiptv.cc/huya/11774959
S哥影视,https://live.ottiptv.cc/huya/24720260
短剧无极限,https://live.ottiptv.cc/huya/31001847
吾聊电影,https://live.ottiptv.cc/huya/16424416
良少聊漫威,https://live.ottiptv.cc/huya/25523725
救赎电影,https://live.ottiptv.cc/huya/29833341
力哥影视,https://live.ottiptv.cc/huya/23419131
小丑电影,https://live.ottiptv.cc/huya/29869799
爱情公寓,http://live.metshop.top/huya/11336726
刘德华电影,http://cdn.jdshipin.com:8880/huya.php?id=11342424
爱情悬崖,https://cfss.cc/api/kg/1128.mp4
老巴电影,https://live.ottiptv.cc/huya/29340502
龙祥电影,http://194.147.100.173/jsy/p.php/?id=XkKJPcq6pvQsIZwEZCQJlA
电影专区,https://iptv.catvod.com/yy/1354930209
重温经典影视,http://wonder998.x3322.net:6200/udp/239.253.254.81:8000
CHC家庭影院,http://lysj.aylzline.top:8899/rtp/225.1.2.214:11422
CHC动作电影,http://lysj.aylzline.top:8899/rtp/225.1.2.215:11428
深圳都市频道,http://183.236.43.98:4013/udp/239.77.1.176:5146
深圳电视剧频道,http://183.236.43.98:4013/udp/239.77.1.177:5146
MAXSPORT3🇧🇬,http://77.46.130.252:99/maxsport3
CHC-动作电影,http://27.18.83.20:9100/rtp/239.69.1.242:11094
CHC-家庭影院,http://27.18.83.20:9100/rtp/239.69.1.243:11100
武汉电视剧,http://27.18.83.20:9100/rtp/239.69.1.146:10512
CHC-影迷电影,http://27.18.83.20:9100/rtp/239.69.1.241:11088
湖南金鹰纪实,http://27.18.83.20:9100/rtp/239.69.1.109:10292
CCTV-第一剧场,http://27.18.83.20:9100/rtp/239.69.1.74:10084
华数城市剧场,http://221.220.129.233:8012/rtp/239.3.1.67:4120
华数热播剧场,http://123.118.52.115:8686/rtp/239.3.1.194:9020
华数家庭影院,http://123.118.52.115:8686/rtp/239.3.1.93:4120
江西都市频道,http://220.176.218.173:9000/udp/239.252.220.238:5140
CCTV风云剧场,http://220.176.218.173:9000/udp/239.252.219.89:5140
CCTV怀旧剧场,http://220.176.218.173:9000/udp/239.252.219.90:5140
CCTV第一剧场,http://220.176.218.173:9000/udp/239.252.219.86:5140
华数经典电影,http://220.176.218.173:9000/rtp/239.252.220.139:5140
华数军旅剧场,http://220.176.218.173:9000/rtp/239.252.220.76:5140
华数碟战剧场,http://220.176.218.173:9000/rtp/239.252.220.145:5140
家庭影院,http://220.176.218.173:9000/rtp/239.252.220.86:5140
华数动作影院,http://220.176.218.173:9000/rtp/239.252.220.85:5140
河南都市频道,http://219.156.95.119:4022/rtp/225.1.4.52:1081
河南电视剧频道,http://219.156.95.119:4022/rtp/225.1.4.55:1084
华数喜剧影院,http://220.176.218.173:9000/rtp/239.252.220.79:5140
华数古装剧场,http://220.176.218.173:9000/rtp/239.252.220.77:5140
华数武侠剧场,http://220.176.218.173:9000/rtp/239.252.220.88:5140
IPTV6华数电影,http://220.176.218.173:9000/rtp/239.252.220.142:5140
IPTV8电视剧,http://220.176.218.173:9000/rtp/239.252.220.143:5140
华数爱电影,http://219.156.95.119:4022/rtp/225.1.4.6:1035
华数谍战剧场,http://219.156.95.119:4022/rtp/225.1.4.185:1240
爱大剧,http://219.156.95.119:4022/rtp/225.1.4.8:1037
河南调解剧场,http://1.192.241.97:8188/rtp/239.16.20.197:11970
郑州6都市生活,http://1.192.241.97:8188/rtp/239.16.10.159:2000
上海都市剧场,http://1.192.241.97:8188/rtp/239.16.20.38:10380
大剧院,http://1.192.241.97:8188/rtp/239.16.20.217:12170
河北都市频道,http://60.4.30.177:8077/rtp/239.253.92.172:6002
河北影视剧频道,http://60.4.30.177:8077/rtp/239.253.92.173:6003
沧州影视娱乐,http://60.4.30.177:8077/rtp/239.253.92.123:6017
CCTV-风云剧场,http://171.119.206.234:6000/rtp/226.0.2.227:9728
CCTV-怀旧剧场,http://171.119.206.234:6000/rtp/226.0.2.224:9704
CHC电影,http://171.119.206.234:6000/rtp/226.0.2.93:8004
长影频道,http://36.49.53.61:8800/rtp/239.37.0.125:5540
环球奇观,http://36.49.53.61:8800/rtp/239.37.0.105:5540
云南都市频道,http://106.59.2.85:55555/rtp/239.200.200.12:8844
精彩影视,http://39.77.26.255:4002/rtp/239.253.254.142:8000
央视频道,#genre#
CCTV-1综合,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8
CCTV-2财经,http://58.57.40.22:9901/tsfile/live/1001_1.m3u8
CCTV-3综艺,http://58.57.40.22:9901/tsfile/live/1002_1.m3u8
CCTV-4中文国际,http://114.226.212.155:8787/rtp/239.49.8.131:6000
CCTV-4中文国际,http://223.105.252.60/PLTV/4/224/3221228228/index.m3u8?servicetype=1
CCTV-4中文国际,http://82.156.243.185:36888/av3a/cctv4k.m3u8
CCTV-4中文国际,http://27.18.83.20:9100/rtp/239.69.1.232:11034
CCTV-4中文国际,http://27.18.83.20:9100/rtp/239.69.1.231:11028
CCTV-4中文国际,http://220.176.218.173:9000/udp/239.252.219.192:5140
CCTV-4中文国际,http://220.176.218.173:9000/rtp/239.252.219.60:5140
CCTV-4中文国际,http://220.176.218.173:9000/udp/239.252.219.193:5140
CCTV-5,https://www.freetv.top/migu/641886683.m3u8
CCTV-5,http://82.156.243.185:36888/av3a/cctv5pn.m3u8
CCTV-5+,https://live.264788.xyz/channel/cctv5p?streamid=5abeb9f5977d817ac6912946fd8a363c&livekey=01Whq5ncXSAY4QR6pxFecNJPn2TD9XzQG6tPi
CCTV-6电影,http://58.57.40.22:9901/tsfile/live/1006_1.m3u8
CCTV-7国防军事,https://live.264788.xyz/channel/cctv7?streamid=5a42e851e3cd52d2bb3328f800a01375&livekey=01Whq5ncXSAY4QR6pxFecNJPn2TD9XzQG6tPi
CCTV-7国防军事,http://114.226.212.155:8787/rtp/239.49.1.254:6000
CCTV-8电视剧,https://stream1.freetv.fun/cctv8k-3.m3u8
CCTV-8电视剧,http://58.57.40.22:9901/tsfile/live/1008_1.m3u8
CCTV-9纪录,http://58.57.40.22:9901/tsfile/live/1009_1.m3u8
CCTV-10科教,http://58.57.40.22:9901/tsfile/live/1010_1.m3u8
CCTV-11戏曲,http://58.57.40.22:9901/tsfile/live/1011_1.m3u8
CCTV-12社会与法,https://live.264788.xyz/channel/cctv12?streamid=84f9cd3c87e9c658fbabba0f81cf060f&livekey=01Whq5ncXSAY4QR6pxFecNJPn2TD9XzQG6tPi
CCTV-12社会与法,http://114.226.212.155:8787/rtp/239.49.8.55:9822
CCTV-13新闻,https://cdn13.178.indevs.in/163189/790bc5f7f0f06879
CCTV-14少儿,http://58.57.40.22:9901/tsfile/live/1014_1.m3u8
CCTV-15音乐,https://www.freetv.top/migu/673168223.m3u8
CCTV-16奥林匹克,http://82.156.243.185:36888/av3a/cctv16n.m3u8
CCTV-16奥林匹克,http://27.18.83.20:9100/rtp/239.69.1.247:11124
CCTV-16奥林匹克,http://27.18.83.20:9100/rtp/239.69.1.249:11136
CCTV-17农业农村,http://114.226.212.155:8787/rtp/239.49.8.52:9810
CCTV-17农业农村,http://58.57.40.22:9901/tsfile/live/0019_1.m3u8
CCTV,https://stream1.freetv.fun/cctv4k-4.m3u8
CETV-1,http://120.76.248.139/live/bfgd/4200000135.m3u8
广东体育频道,http://183.236.43.98:4013/udp/239.77.0.168:5146
江门综合频道,http://183.236.43.98:4013/udp/239.77.0.201:5146
汕头综合频道,http://183.236.43.98:4013/udp/239.253.43.45:5146
江苏综艺频道,http://114.226.212.155:8787/rtp/239.49.8.108:8000
南京科教频道,http://114.226.212.155:8787/rtp/239.49.0.183:9434
湖北综合频道,http://27.18.83.20:9100/rtp/239.69.1.42:9892
CCTV-央视台球,http://27.18.83.20:9100/rtp/239.69.1.98:10224
CETV1,http://27.18.83.20:9100/rtp/239.69.1.110:10298
CCTV央视文化精品,http://220.176.218.173:9000/udp/239.252.219.81:5140
CETV4,http://220.176.218.173:9000/rtp/239.252.219.169:5140
CCTV央视台球,http://220.176.218.173:9000/udp/239.252.219.80:5140
CETV2,http://220.176.218.173:9000/rtp/239.252.219.73:5140
河南戏曲频道,http://219.156.95.119:4022/rtp/225.1.4.99:1128
洛阳-2科教频道,http://1.192.241.97:8188/rtp/239.16.20.177:11770
南阳3科教频道,http://1.192.241.97:8188/rtp/239.16.10.164:2000
焦作综合频道,http://1.192.241.97:8188/rtp/239.16.20.140:11400
义马综合频道,http://1.192.241.97:8188/rtp/239.16.20.109:11090
卫辉综合频道,http://1.192.241.97:8188/rtp/239.16.20.191:11910
汝阳综合频道,http://1.192.241.97:8188/rtp/239.16.20.207:12070
内黄综合频道,http://1.192.241.97:8188/rtp/239.16.20.228:12280
宜阳综合频道,http://1.192.241.97:8188/rtp/239.16.20.206:12060
光山综合频道,http://1.192.241.97:8188/rtp/239.16.10.94:2000
郏县综合频道,http://1.192.241.97:8188/rtp/239.16.20.235:12350
新乡综合频道,http://1.192.241.97:8188/rtp/239.16.20.18:10180
邓州综合频道,http://1.192.241.97:8188/rtp/239.16.20.20:10200
获嘉综合频道,http://1.192.241.97:8188/rtp/239.16.20.25:10250
灵宝综合频道,http://1.192.241.97:8188/rtp/239.16.20.59:10590
临颍综合频道,http://1.192.241.97:8188/rtp/239.16.10.180:2000
平顶山教育台,http://1.192.241.97:8188/rtp/239.16.20.27:10270
邢台综合频道,http://60.4.30.177:8077/rtp/239.253.93.8:6161
井陉综合频道,http://60.4.30.177:8077/rtp/239.253.93.205:6383
遵化综合频道,http://60.4.30.177:8077/rtp/239.253.93.177:6345
滦南综合频道,http://60.4.30.177:8077/rtp/239.253.92.218:6100
玉田综合频道,http://60.4.30.177:8077/rtp/239.253.92.118:6133
成安综合频道,http://60.4.30.177:8077/rtp/239.253.93.178:6346
柏乡综合频道,http://60.4.30.177:8077/rtp/239.253.93.171:6339
枣强综合频道,http://60.4.30.177:8077/rtp/239.253.93.166:6334
兴隆综合频道,http://60.4.30.177:8077/rtp/239.253.93.104:6271
三河综合频道,http://60.4.30.177:8077/rtp/239.253.93.143:6311
CETV早期教育,http://60.4.30.177:8077/rtp/239.253.93.164:6440
山东体育频道,http://144.255.31.236:6688/udp/239.21.1.141:5002
济宁综合频道,http://144.255.31.236:6688/udp/239.21.2.19:5002
宁阳综合频道,http://144.255.31.236:6688/udp/239.21.1.143:5002
夏津综合频道,http://144.255.31.236:6688/udp/239.21.1.106:5002
乳山综合频道,http://144.255.31.236:6688/udp/239.21.1.220:5002
聊城综合频道,http://144.255.31.236:6688/udp/239.21.1.253:5002
邹城综合频道,http://144.255.31.236:6688/udp/239.21.1.185:5002
宁津综合频道,http://144.255.31.236:6688/udp/239.21.2.50:5002
平原综合频道,http://144.255.31.236:6688/udp/239.21.1.243:5002
平阴综合频道,http://144.255.31.236:6688/udp/239.21.1.221:5002
禹城综合频道,http://144.255.31.236:6688/udp/239.21.1.241:5002
禹城综艺频道,http://144.255.31.236:6688/udp/239.21.1.242:5002
东平综合频道,http://144.255.31.236:6688/udp/239.21.1.216:5002
无棣综合频道,http://144.255.31.236:6688/udp/239.21.1.214:5002
兰陵综合频道,http://144.255.31.236:6688/udp/239.21.1.237:5002
济阳综合频道,http://144.255.31.236:6688/udp/239.21.1.187:5002
陵城综合频道,http://144.255.31.236:6688/udp/239.21.2.24:5002
山西社会与法治,http://171.119.206.234:6000/rtp/226.0.2.238:9816
松原综合频道,http://36.49.53.61:8800/rtp/239.37.0.246:5540
磐石综合频道,http://36.49.53.61:8800/rtp/239.37.0.164:5540
山东综艺频道,http://39.77.26.255:4002/rtp/239.253.254.159:8000
青岛综合频道,http://39.77.26.255:4002/rtp/239.253.254.243:8000
莱西综合频道,http://39.77.26.255:4002/rtp/239.253.254.247:8000
卫视频道,#genre#
浙江经济生活,https://t.freetv.fun/live/zhe-jiang-jing-ji-sheng-huo-3.m3u8
浙江民生,https://t.freetv.fun/live/zhe-jiang-min-sheng-1.m3u8
衢江新闻综合,https://t.freetv.fun/live/qu-jiang-xin-wen-zong-he.m3u8
绍兴新闻综合,https://t.freetv.fun/live/shao-xing-xin-wen-zong-he-2.m3u8
